"","year","country","dengue_sum_cases"
"1",2002,"Bolivia",0.101
"2",2002,"Brazil",0.073
"3",2002,"India",0.062
"4",2002,"Indonesia",0.101
"5",2002,"Singapore",0.059
"6",2003,"Bolivia",3.945
"7",2003,"Brazil",4.344
"8",2003,"India",8.856
"9",2003,"Indonesia",3.147
"10",2003,"Singapore",6.854
"11",2003,"Mexico",4.414
"12",2003,"Argentina",1.397
"13",2003,"Venezuela",8.967
"14",2003,"Philippines",3.562
"15",2004,"Argentina",1.533
"16",2004,"Bolivia",1.465
"17",2004,"Brazil",2.38
"18",2004,"India",3.742
"19",2004,"Indonesia",8.356
"20",2004,"Mexico",3.832
"21",2004,"Philippines",4.57
"22",2004,"Singapore",8.366
"23",2004,"Venezuela",9.995
"24",2005,"Argentina",1.035
"25",2005,"Bolivia",1.485
"26",2005,"Brazil",2.688
"27",2005,"India",5.671
"28",2005,"Indonesia",9.179
"29",2005,"Mexico",4.704
"30",2005,"Philippines",6.488
"31",2005,"Singapore",14.22
"32",2005,"Venezuela",10.306
"33",2006,"Argentina",1.007
"34",2006,"Bolivia",1.068
"35",2006,"Brazil",4.648
"36",2006,"India",8.794
"37",2006,"Indonesia",10.807
"38",2006,"Mexico",4.838
"39",2006,"Philippines",7.348
"40",2006,"Singapore",6.649
"41",2006,"Venezuela",9.655
"42",2007,"Argentina",5.569
"43",2007,"Bolivia",2.609
"44",2007,"Brazil",7.943
"45",2007,"India",4.591
"46",2007,"Indonesia",14.974
"47",2007,"Mexico",7.668
"48",2007,"Philippines",6.997
"49",2007,"Singapore",9.583
"50",2007,"Venezuela",15.261
"51",2008,"Argentina",1.462
"52",2008,"Bolivia",1.493
"53",2008,"Brazil",9.653
"54",2008,"India",4.451
"55",2008,"Indonesia",10.705
"56",2008,"Mexico",5.946
"57",2008,"Philippines",5.61
"58",2008,"Singapore",6.248
"59",2008,"Venezuela",15.65
"60",2008,"Thailand",1.911
"61",2009,"Argentina",16.739
"62",2009,"Bolivia",10.362
"63",2009,"Brazil",8.211
"64",2009,"India",4.549
"65",2009,"Indonesia",9.228
"66",2009,"Mexico",14.228
"67",2009,"Philippines",7.078
"68",2009,"Singapore",5.443
"69",2009,"Thailand",6.399
"70",2009,"Venezuela",15.779
"71",2010,"Argentina",6.621
"72",2010,"Bolivia",1.335
"73",2010,"Brazil",12.524
"74",2010,"India",9.394
"75",2010,"Indonesia",7.235
"76",2010,"Mexico",7.848
"77",2010,"Philippines",14.465
"78",2010,"Singapore",5.542
"79",2010,"Thailand",10.381
"80",2010,"Venezuela",27.847
"81",2011,"Argentina",3.186
"82",2011,"Bolivia",2.173
"83",2011,"Brazil",8.807
"84",2011,"India",3.163
"85",2011,"Indonesia",5.173
"86",2011,"Mexico",4.62
"87",2011,"Philippines",9.906
"88",2011,"Singapore",5.637
"89",2011,"Thailand",7.069
"90",2011,"Venezuela",11.973
"91",2012,"Argentina",2.082
"92",2012,"Bolivia",1.513
"93",2012,"Brazil",5.534
"94",2012,"India",8.401
"95",2012,"Indonesia",5.008
"96",2012,"Mexico",8.125
"97",2012,"Philippines",8.813
"98",2012,"Singapore",6.082
"99",2012,"Thailand",9.034
"100",2012,"Venezuela",11.633
"101",2013,"Argentina",4.263
"102",2013,"Bolivia",0.564
"103",2013,"Brazil",8.31
"104",2013,"India",8.41
"105",2013,"Indonesia",4.965
"106",2013,"Mexico",11.882
"107",2013,"Philippines",6.928
"108",2013,"Singapore",9.881
"109",2013,"Thailand",17.252
"110",2013,"Venezuela",15.746
"111",2014,"Argentina",2.767
"112",2014,"Bolivia",0.91
"113",2014,"Brazil",6.818
"114",2014,"India",5.023
"115",2014,"Indonesia",4.795
"116",2014,"Mexico",10.057
"117",2014,"Philippines",4.098
"118",2014,"Singapore",6.664
"119",2014,"Thailand",8.351
"120",2014,"Venezuela",22.814
"121",2015,"Argentina",2.118
"122",2015,"Bolivia",0.427
"123",2015,"Brazil",11.705
"124",2015,"India",1.782
"125",2015,"Indonesia",3.451
"126",2015,"Mexico",4.827
"127",2015,"Philippines",2.243
"128",2015,"Singapore",3.519
"129",2015,"Thailand",6.364
"130",2015,"Venezuela",5.267
